"STATION_NUMBER","year","month","monthly_mean"
"08NN015",1980,9,1.253
"08NN015",1980,10,0.758
"08NN015",1980,11,0.898
"08NN015",1980,12,0.419
"08NN015",1981,1,0.567
"08NN015",1981,2,0.6
"08NN015",1981,3,0.641
"08NN015",1981,4,1.88
"08NN015",1981,5,17.461
"08NN015",1981,6,15.747
"08NN015",1981,7,8.548
"08NN015",1981,8,1.856
"08NN015",1981,9,1.016
"08NN015",1981,10,2.839
"08NN015",1981,11,2.407
"08NN015",1981,12,1.638
"08NN015",1982,1,0.573
"08NN015",1982,2,0.469
"08NN015",1982,3,0.266
"08NN015",1982,4,0.888
"08NN015",1982,5,13.19
"08NN015",1982,6,19.69
"08NN015",1982,7,11.913
"08NN015",1982,8,1.784
"08NN015",1982,9,1.997
"08NN015",1982,10,2.206
"08NN015",1982,11,0.962
"08NN015",1982,12,0.739
"08NN015",1983,1,0.505
"08NN015",1983,2,0.551
"08NN015",1983,3,1.215
"08NN015",1983,4,3.776
"08NN015",1983,5,18.374
"08NN015",1983,6,15.029
"08NN015",1983,7,5.475
"08NN015",1983,8,1.606
"08NN015",1983,9,2.016
"08NN015",1983,10,0.802
"08NN015",1983,11,2.163
"08NN015",1983,12,0.607
"08NN015",1984,1,0.891
"08NN015",1984,2,0.564
"08NN015",1984,3,0.646
"08NN015",1984,4,2.322
"08NN015",1984,5,8.806
"08NN015",1984,6,23.577
"08NN015",1984,7,6.225
"08NN015",1984,8,1.213
"08NN015",1984,9,1.61
"08NN015",1984,10,1.102
"08NN015",1984,11,0.601
"08NN015",1984,12,0.416
"08NN015",1985,1,0.252
"08NN015",1985,2,0.248
"08NN015",1985,3,0.249
"08NN015",1985,4,2.545
"08NN015",1985,5,17.603
"08NN015",1985,6,9.646
"08NN015",1985,7,0.574
"08NN015",1985,8,0.282
"08NN015",1985,9,2.096
"08NN015",1985,10,2.27
"08NN015",1985,11,1.336
"08NN015",1985,12,0.597
"08NN015",1986,1,0.406
"08NN015",1986,2,0.36
"08NN015",1986,3,0.766
"08NN015",1986,4,3.132
"08NN015",1986,5,14.925
"08NN015",1986,6,12.669
"08NN015",1986,7,4.018
"08NN015",1986,8,0.494
"08NN015",1986,9,0.661
"08NN015",1986,10,1.497
"08NN015",1986,11,0.669
"08NN015",1986,12,0.41
"08NN015",1987,1,0.36
"08NN015",1987,2,0.28
"08NN015",1987,3,0.917
"08NN015",1987,4,3.939
"08NN015",1987,5,12.255
"08NN015",1987,6,2.794
"08NN015",1987,7,0.834
"08NN015",1987,8,0.315
"08NN015",1987,9,0.149
"08NN015",1987,10,0.127
"08NN015",1987,11,0.16
"08NN015",1987,12,0.139
"08NN015",1988,1,0.132
"08NN015",1988,2,0.129
"08NN015",1988,3,0.158
"08NN015",1988,4,4.806
"08NN015",1988,5,13.108
"08NN015",1988,6,9.11
"08NN015",1988,7,2.128
"08NN015",1988,8,0.336
"08NN015",1988,9,0.351
"08NN015",1988,10,1.689
"08NN015",1988,11,1.254
"08NN015",1988,12,0.608
"08NN015",1989,1,0.376
"08NN015",1989,2,0.25
"08NN015",1989,3,0.266
"08NN015",1989,4,3.067
"08NN015",1989,5,12.4
"08NN015",1989,6,11.4
"08NN015",1989,7,1.961
"08NN015",1989,8,0.911
"08NN015",1989,9,0.937
"08NN015",1989,10,0.535
"08NN015",1989,11,1.703
"08NN015",1989,12,1.149
"08NN015",1990,1,0.518
"08NN015",1990,2,0.421
"08NN015",1990,3,0.526
"08NN015",1990,4,6.854
"08NN015",1990,5,14.191
"08NN015",1990,6,22.457
"08NN015",1990,7,6.078
"08NN015",1990,8,0.749
"08NN015",1990,9,0.444
"08NN015",1990,10,0.592
"08NN015",1990,11,1.17
"08NN015",1990,12,0.566
"08NN015",1991,1,0.353
"08NN015",1991,2,0.485
"08NN015",1991,3,0.449
"08NN015",1991,4,3.367
"08NN015",1991,5,16.91
"08NN015",1991,6,17.351
"08NN015",1991,7,5.097
"08NN015",1991,8,1.01
"08NN015",1991,9,0.345
"08NN015",1991,10,0.209
"08NN015",1991,11,0.279
"08NN015",1991,12,0.239
"08NN015",1992,1,0.242
"08NN015",1992,2,0.269
"08NN015",1992,3,1.004
"08NN015",1992,4,4.534
"08NN015",1992,5,10.597
"08NN015",1992,6,4.518
"08NN015",1992,7,3.439
"08NN015",1992,8,0.753
"08NN015",1992,9,0.565
"08NN015",1992,10,0.62
"08NN015",1992,11,0.597
"08NN015",1992,12,0.397
"08NN015",1993,1,0.385
"08NN015",1993,2,0.364
"08NN015",1993,3,0.353
"08NN015",1993,4,3.021
"08NN015",1993,5,22.758
"08NN015",1993,6,7.75
"08NN015",1993,7,5.335
"08NN015",1993,8,2.211
"08NN015",1993,9,0.865
"08NN015",1993,10,1.03
"08NN015",1993,11,0.679
"08NN015",1993,12,0.556
"08NN015",1994,1,0.482
"08NN015",1994,2,0.438
"08NN015",1994,3,0.749
"08NN015",1994,4,8.703
"08NN015",1994,5,14.911
"08NN015",1994,6,8.582
"08NN015",1994,7,1.617
"08NN015",1994,8,0.388
"08NN015",1994,9,0.382
"08NN015",1994,10,0.355
"08NN015",1994,11,0.327
"08NN015",1994,12,0.366
"08NN015",1995,1,0.326
"08NN015",1995,2,0.443
"08NN015",1995,3,0.851
"08NN015",1995,4,2.483
"08NN015",1995,5,13.801
"08NN015",1995,6,12.108
"08NN015",1995,7,1.798
"08NN015",1995,8,1.356
"08NN015",1995,9,0.351
